LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
23.5,27.5,2022,1,15.09,11.64,17.65,6.08,0.02,67.68,4.92,3.31,7.02
23.5,32.5,2022,1,15.78,14.23,20.72,8.68,0.0,50.82,3.42,1.68,5.85
24.5,27.5,2022,1,12.3,10.39,15.77,5.58,0.08,75.55,5.33,3.53,8.13
24.5,32.5,2022,1,14.48,13.38,20.27,8.13,0.01,55.81,3.39,1.99,5.44
25.5,27.5,2022,1,9.48,10.65,14.99,6.92,0.24,74.34,5.1,2.67,7.57
25.5,32.5,2022,1,13.94,13.04,19.9,7.97,0.2,61.95,2.9,1.8,4.27
26.5,27.5,2022,1,11.94,12.21,16.27,9.22,0.44,70.15,4.71,1.86,6.31
26.5,32.5,2022,1,12.37,11.91,18.6,7.24,0.64,70.98,2.61,1.18,4.13
27.5,27.5,2022,1,11.16,12.35,15.45,9.1,1.09,73.84,3.99,1.07,5.55
27.5,32.5,2022,1,10.97,10.74,16.53,7.0,1.64,73.29,2.53,1.13,3.56
28.5,27.5,2022,1,11.71,12.08,15.45,9.35,0.75,78.79,2.88,0.49,4.37
28.5,32.5,2022,1,11.15,10.83,15.49,7.41,2.39,71.68,2.18,0.77,3.64
29.5,27.5,2022,1,12.63,13.07,18.09,9.06,0.49,76.59,2.05,0.42,3.84
29.5,32.5,2022,1,12.42,13.98,16.9,11.76,5.61,72.01,1.56,0.35,3.54
30.5,27.5,2022,1,12.54,12.19,16.76,9.89,0.71,83.78,2.82,1.14,4.51
30.5,32.5,2022,1,11.2,13.82,18.29,10.37,2.52,78.14,1.21,0.11,2.14
31.5,27.5,2022,1,10.86,16.12,16.91,15.48,3.13,76.97,3.77,2.49,4.66
31.5,32.5,2022,1,8.51,16.29,16.87,15.96,2.36,80.95,2.49,1.05,4.67
23.5,27.5,2022,2,17.31,11.32,17.31,6.17,0.01,75.14,4.11,2.36,6.01
23.5,32.5,2022,2,17.17,12.47,18.84,6.85,0.01,64.08,2.87,1.72,3.92
24.5,27.5,2022,2,16.73,10.81,16.16,6.33,0.05,76.14,4.24,2.45,6.08
24.5,32.5,2022,2,16.7,11.74,18.53,6.83,0.04,67.6,3.14,1.84,4.53
25.5,27.5,2022,2,15.46,11.53,17.02,6.99,0.27,77.53,3.64,2.55,4.91
25.5,32.5,2022,2,15.13,11.59,18.29,7.55,0.1,71.14,3.53,2.16,5.0
26.5,27.5,2022,2,14.33,12.23,17.99,7.19,0.27,79.75,3.19,1.9,4.62
26.5,32.5,2022,2,15.27,11.18,18.65,6.41,0.06,71.68,3.63,2.4,5.15
27.5,27.5,2022,2,13.4,11.5,17.06,6.28,1.48,86.52,2.81,1.15,4.6
27.5,32.5,2022,2,13.99,10.48,17.88,5.56,0.25,72.41,3.68,1.94,5.17
28.5,27.5,2022,2,12.24,11.3,15.42,6.76,6.13,91.75,2.51,1.09,4.54
28.5,32.5,2022,2,12.83,10.55,16.02,6.72,0.56,77.65,3.53,1.56,5.13
29.5,27.5,2022,2,9.42,12.76,17.62,8.96,5.93,89.48,2.08,0.89,4.72
29.5,32.5,2022,2,10.03,13.63,16.75,10.9,1.28,81.58,4.04,2.3,5.41
30.5,27.5,2022,2,7.23,12.87,16.37,10.79,8.92,90.64,3.12,1.47,5.44
30.5,32.5,2022,2,10.36,13.22,17.71,10.45,1.5,83.98,2.5,1.3,3.77
31.5,27.5,2022,2,9.81,16.74,17.8,16.17,17.54,80.85,5.28,3.99,5.88
31.5,32.5,2022,2,9.73,17.71,18.29,16.95,3.37,75.92,4.12,3.4,4.96
23.5,27.5,2022,3,16.66,12.52,17.59,8.67,0.07,75.16,4.21,2.33,6.22
23.5,32.5,2022,3,16.87,13.57,20.68,7.22,0.0,60.19,3.0,1.73,4.53
24.5,27.5,2022,3,15.75,12.15,17.23,9.36,0.18,77.42,3.9,1.96,5.95
24.5,32.5,2022,3,16.17,12.96,20.28,7.04,0.0,62.66,3.2,1.63,4.69
25.5,27.5,2022,3,15.4,12.85,17.73,8.8,0.12,75.6,3.54,1.7,5.18
25.5,32.5,2022,3,15.32,12.84,20.97,6.18,0.0,65.98,2.86,1.77,4.15
26.5,27.5,2022,3,14.99,13.11,18.61,9.16,0.05,76.42,3.25,1.3,5.05
26.5,32.5,2022,3,14.83,12.78,20.9,6.78,0.01,68.38,2.95,1.98,3.94
27.5,27.5,2022,3,14.71,12.34,17.72,8.33,0.17,79.64,2.9,1.23,5.19
27.5,32.5,2022,3,14.95,11.38,19.03,6.04,0.04,72.79,2.91,1.84,4.6
28.5,27.5,2022,3,14.3,12.21,18.0,7.58,0.39,78.62,2.43,0.93,4.85
